1773,ワイ・ティー・エル・コーポレーション・バーハッド,168億,,,,建設業
1775,富士古河E&C,528億,10.13,12.7,7.09,建設業
1776,三井住建道路,91億,13.09,5.28,2.85,建設業
1777,川崎設備工業,84億,9.5,7.69,4.57,建設業
1780,ヤマウラ,234億,7.2,13.92,9.68,建設業
1783,fantasista,68億,6.8,15.79,11.25,建設業
1786,オリエンタル白石,535億,14.61,6.96,4.78,建設業
1787,ナカボーテック,124億,16.58,9.54,7.1,建設業
1788,三東工業社,23億,10.4,6.3,4.43,建設業
1789,ETS HD,33億,13.06,8.93,3.53,建設業
1793,大本組,315億,18.92,2.31,1.77,建設業
1795,マサル,35億,11.98,6.19,3.44,建設業
1798,守谷商会,78億,10.84,4.82,2.55,建設業
1799,第一建設工業,436億,12.69,4.59,3.94,建設業
184A,学びエイド,18億,14.76,31.59,25.31,情報・通信業
186A,アストロスケール HD,1112億,,,,サービス業
187A,サムティ HD,1322億,11.02,,,サービス業
189A,D&Mカンパニー,18億,9.6,15.49,2.24,その他金融業
1801,大成建設,1兆1795億,18.04,7.11,2.62,建設業
1802,大林組,1兆3153億,15.02,7.8,2.95,建設業
1803,清水建設,7429億,17.54,4.61,1.73,建設業
1805,飛島建設,275億,8.8,6.46,2.23,建設業
1807,佐藤渡辺,106億,8.6,5.91,3.69,建設業
1808,長谷工コーポレーション,5615億,9.62,10.31,4.35,建設業
1810,松井建設,228億,12.71,3.56,2.44,建設業
1811,錢高組,250億,12.82,2.04,0.95,建設業
1812,鹿島建設,1兆3787億,11.69,8.89,3.32,建設業
1813,不動テトラ,370億,16.27,6.62,4.06,建設業
1814,大末建設,170億,9.9,7.46,2.88,建設業
1815,鉄建建設,370億,12.61,3.87,1.21,建設業
1820,西松建設,2168億,10.74,7.57,2.2,建設業
1821,三井住友建設,634億,13.58,6.49,1.04,建設業
1822,大豊建設,623億,15.17,6.03,2.57,建設業
1826,佐田建設,133億,15.26,5.75,3.59,建設業
1827,ナカノフドー建設,164億,8.21,4.84,2.54,建設業
1828,田辺工業,167億,8.15,8.8,4.21,建設業
1832,北海電気工事,195億,13.76,4.74,3.38,建設業
1833,奥村組,1678億,12.69,6.93,3.48,建設業
1835,東鉄工業,1223億,12.97,8.21,6.2,建設業
1840,土屋 HD,55億,31.61,1.49,0.63,建設業
